Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Cases_28_Days,Deaths_28_Days
Lebanon,2022-04-09 09:20:32,33.8547,35.8623,1094314,10334,,,16032.866442935125,10963,141
Lesotho,2022-04-09 09:20:32,-29.61,28.2336,32910,697,,,1536.2338324342795,194,0
Liberia,2022-04-09 09:20:32,6.4280550000000005,-9.429499,7400,294,,,146.3122299031749,8,0
Libya,2022-04-09 09:20:32,26.3351,17.228331,501738,6419,,,7301.950857241153,1971,83
Liechtenstein,2022-04-09 09:20:32,47.14,9.55,16702,84,,,43794.74001625718,2913,5
Lithuania,2022-04-09 09:20:32,55.1694,23.8813,1040509,8961,,,38221.813906007854,82782,347
Luxembourg,2022-04-09 09:20:32,49.8153,6.1296,223666,1045,,,35730.762840747884,31702,41
MS Zaandam,2022-04-09 09:20:32,,,9,2,,,,0,0
Madagascar,2022-04-09 09:20:32,-18.766947,46.869107,64050,1388,,,231.3024305822765,259,15
Malawi,2022-04-09 09:20:32,-13.2543,34.3015,85694,2628,,,447.957143652455,208,8
Malaysia,2022-04-09 09:20:32,4.210483999999999,101.975766,4307529,35259,,,13308.809448730732,532743,1616
Maldives,2022-04-09 09:20:32,3.2028,73.2207,177665,298,,,32867.93625657212,3502,1
Mali,2022-04-09 09:20:32,17.570692,-3.996166000000001,30535,729,,,150.7839133933941,126,3
Malta,2022-04-09 09:20:32,35.9375,14.3754,85057,656,,,19263.75699541829,12497,43
Marshall Islands,2022-04-09 09:20:32,7.1315,171.1845,7,0,,,11.983633780151678,0,0
Mauritania,2022-04-09 09:20:32,21.0079,-10.9408,58710,982,,,1262.6729696364896,53,1
Mauritius,2022-04-09 09:20:32,-20.348404,57.552152,214860,985,,,16894.60412166694,33498,51
Mexico,2022-04-09 09:20:32,23.6345,-102.5528,5719829,323595,,,4475.879709984999,127958,2988
Micronesia,2022-04-09 09:20:32,7.4256,150.5508,1,0,,,0.8786188112287484,0,0
Moldova,2022-04-09 09:20:32,47.4116,28.3699,515121,11460,,,12789.489757156089,8093,127
Monaco,2022-04-09 09:20:32,43.7333,7.4167,11127,54,,,28353.378860462744,1391,3
Mongolia,2022-04-09 09:20:32,46.8625,103.8467,919870,2177,,,28059.428507283672,5334,0
Montenegro,2022-04-09 09:20:32,42.708678000000006,19.37439,233640,2706,,,37200.149029872846,2249,14
Morocco,2022-04-09 09:20:32,31.7917,-7.0926,1163888,16061,,,3153.2657945729247,1908,27
Mozambique,2022-04-09 09:20:32,-18.665695,35.529562,225277,2200,,,720.761045239012,112,2
Namibia,2022-04-09 09:20:32,-22.9576,18.4904,157841,4021,,,6211.972375316617,458,7
Nepal,2022-04-09 09:20:32,28.1667,84.25,978556,11951,,,3358.4873126802363,708,1
Netherlands,2022-04-09 09:20:32,52.3167,5.55,8150141,22702,,,47564.64200230723,919719,400
New Zealand,2022-04-09 09:20:32,-40.9006,174.886,763711,445,,,15837.289488085706,415888,352
Nicaragua,2022-04-09 09:20:32,12.865416,-85.207229,18491,231,,,279.1282250850397,288,5
Niger,2022-04-09 09:20:32,17.607789,8.081666,8822,308,,,36.44455181628707,42,0
Nigeria,2022-04-09 09:20:32,9.082,8.6753,255575,3142,,,123.98152325783016,681,0
North Macedonia,2022-04-09 09:20:32,41.6086,21.7453,307507,9240,,,14760.00537587958,6491,117
Norway,2022-04-09 09:20:32,60.472,8.4689,1414993,2667,,,26100.900863676627,68216,914
Oman,2022-04-09 09:20:32,21.512583,55.92325500000001,388603,4253,,,7609.785881939176,2600,3
Pakistan,2022-04-09 09:20:32,30.3753,69.3451,1526472,30361,,,691.0479839157476,8389,57
Palau,2022-04-09 09:20:32,7.515,134.5825,4098,6,,,22756.552643269657,199,0
Panama,2022-04-09 09:20:32,8.538,-80.7821,766504,8174,,,17764.663129048884,7280,43
Papua New Guinea,2022-04-09 09:20:32,-6.314993,143.95555,43424,643,,,485.3455790398308,1891,4
Paraguay,2022-04-09 09:20:32,-23.4425,-58.4438,648446,18734,,,9091.388329246423,2791,212
Peru,2022-04-09 09:20:32,-9.19,-75.0152,3550791,212438,,,10769.160452829969,16104,1015
Philippines,2022-04-09 09:20:32,12.879721,121.774017,3680802,59660,,,3358.9756845353377,11279,2343
Poland,2022-04-09 09:20:32,51.9194,19.1451,5977773,115635,,,15794.740373674204,176368,2287
Portugal,2022-04-09 09:20:32,39.3999,-8.2245,3667184,21874,,,35964.39517189226,286921,589
Qatar,2022-04-09 09:20:32,25.3548,51.1839,362404,677,,,12578.842509354195,3458,3
Romania,2022-04-09 09:20:32,45.9432,24.9668,2870486,65179,,,14921.16357885529,82861,903
Russia,2022-04-09 09:20:32,61.524,105.3188,17720977,364011,,,12143.10656989446,713966,11294
Rwanda,2022-04-09 09:20:32,-1.9403,29.8739,129743,1459,,,1001.705577789858,154,0
Saint Kitts and Nevis,2022-04-09 09:20:32,17.357822,-62.782998,5552,43,,,10437.659798465937,14,1
Saint Lucia,2022-04-09 09:20:32,13.9094,-60.9789,23010,365,,,12530.700488484934,177,1
Saint Vincent and the Grenadines,2022-04-09 09:20:32,12.9843,-61.2872,8339,106,,,7516.201429511389,16,0
Samoa,2022-04-09 09:20:32,-13.759,-172.1046,3320,3,,,1692.7548054861572,3274,3
San Marino,2022-04-09 09:20:32,43.9424,12.4578,15629,114,,,46051.623548824326,938,2
Sao Tome and Principe,2022-04-09 09:20:32,0.1864,6.6131,5948,73,,,2713.9865213245057,9,1
Saudi Arabia,2022-04-09 09:20:32,23.885942,45.079162,751622,9055,,,2158.973032211561,3133,39
Senegal,2022-04-09 09:20:32,14.4974,-14.4524,85947,1965,,,513.3024325830314,162,1
Serbia,2022-04-09 09:20:32,44.0165,21.0059,1987756,15869,,,22750.04950002117,50573,317
Seychelles,2022-04-09 09:20:32,-4.6796,55.492,41059,164,,,41752.0846044336,1454,1
Sierra Leone,2022-04-09 09:20:32,8.460555000000001,-11.779889,7675,125,,,96.2142965042557,8,0
Singapore,2022-04-09 09:20:32,1.2833,103.8333,1132169,1297,,,19352.18157294367,215066,168
